Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Watershed:Eno River 
Medium:Water
Parameters: Dissolved Oxygen    Time Period:2019-01-01 ~ 2020-12-31
Project:all
Data was downloaded on March 15 2021 5:23 pm
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Watershed,Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-08-13 08:55:00","6.8","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-09-10 08:30:00","6.8","","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-10-08 08:20:00","7","J10","mg/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-11-12 08:40:00","10.1","J10","mg/L","","Raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2019-12-04 08:30:00","11.3","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-01-07 10:45:00","11.5","","mg/L","","raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-02-04 10:40:00","11.5","","mg/L","","starting to rain","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-03-03 10:45:00","11.2","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-05-12 09:00:00","9.3","","mg/L","","Duplicate Site; Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-06-09 00:00:00","7.3","","mg/L","","Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020 Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in June 2020","No","Overcast","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-07-07 10:15:00","6.9","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-08-04 10:25:00","7.6","","mg/L","","Heavy rains overnight from hurricane.","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-09-01 10:40:00","7.4","","mg/L","","very high flow","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-10-06 10:30:00","9.1","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-11-03 10:20:00","10.5","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"Eno River","EN8.9ER","","Dissolved Oxygen","2020-12-01 10:05:00","10.9","","mg/L",""," ","Yes","Partly Cloudy","4","G","No","SDWRF","Ambient",
